job_title,company_name,location,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry
Senior Data Engineer,Tekniforce,Raleigh-Durham-Chapel Hill Area,3 days ago,,"$120,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Information Technology,"Information Services and Technology, Information and Media"
Data Engineer,RBC,"Raleigh, NC",1 week ago,,"$110,000.00/yr - $135,000.00/yr",Not Applicable,Full-time,Information Technology,Banking and Financial Services
Data Engineer,Qualitative Financials,"Durham, NC",5 months ago,124 applicants,"$85,000.00/yr - $140,204.96/yr",Entry level,Full-time,Information Technology,Information Technology & Services
Mid-level Data Engineer,Signify Technology,"Raleigh, NC",4 days ago,,"$120,000.00/yr - $140,000.00/yr",Mid-Senior level,Full-time,Information Technology,Insurance and IT Services and IT Consulting
Data Engineer,Orion Innovation,"Morrisville, NC",2 weeks ago,,"$75,000.00/yr - $160,204.96/yr",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Senior Data Engineer - AI Platform,Lenovo,"Morrisville, NC",2 weeks ago,141 applicants,"$85,000.00/yr - $160,204.96/yr",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,Artech L.L.C.,"Morrisville, NC",1 month ago,51 applicants,"$89,000.00/yr - $125,204.96/yr",Entry level,Contract,Information Technology,Staffing and Recruiting
Data Engineer,Cynet Systems,"Durham, NC",4 months ago,,"$89,000.00/yr - $125,204.96/yr",Entry level,Contract,Information Technology,Information Technology & Services
Senior Data Engineer,The Clorox Company,"Durham, NC",4 days ago,,"$90,000.00/yr - $135,000.00/yr",Associate,Full-time,Information Technology,Manufacturing
Azure Databricks - Data Engineer,Infosys,"Raleigh, NC",3 weeks ago,115 applicants,"$115,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
"Data Engineer (Hybrid, Raleigh, NC, US)",Astral Insights,"Raleigh, NC",5 months ago,,"$125,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,Data Infrastructure and Analytics
Azure and Databricks Cloud Data Engineer,Infosys,"Raleigh, NC",3 weeks ago,51 applicants,"$115,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Science II (Growth),Tinder,"San Francisco, CA",5 days ago,,"$135,000.00/yr - $155,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
Data Scientist,"Unreal Staffing, Inc","San Francisco, CA",5 months ago,,"$140,000.00/yr - $210,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
"Data Scientist, Product Analytics",Meta,"San Francisco, CA",2 days ago,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,Vertisystem,"San Francisco, CA",2 weeks ago,,$60.00/hr - $70.00/hr,Mid-Senior level,Contract,"Analyst, Science, and Engineering",Data Infrastructure and Analytics
"Data Scientist, Decisions - Lyft Business",Lyft,"San Francisco County, CA",1 week ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation
Data Scientist I,Russell Tobin,"San Francisco, CA",2 weeks ago,,$65.00/hr - $77.33/hr,Entry level,Contract,Engineering and Information Technology,Staffing and Recruiting
"Data Scientist, Product Analytics",Meta,"San Francisco, CA",2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Human Data",OpenAI,"San Francisco, CA",4 months ago,,"$185,000.00/yr - $225,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Research Services
"Data Scientist, Decisions - Lyft Business",Lyft,"San Francisco County, CA",1 week ago,,"$128,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation
Data Scientist,Attain,"San Francisco, CA",2 months ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist I,Russell Tobin,"San Francisco, CA",2 weeks ago,,"$90,000.00/yr - $110,000.00/yr",Entry level,Contract,Engineering and Information Technology,Staffing and Recruiting
"Data Scientist, Product Analytics",Meta,"Burlingame, CA",,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
NLP Machine Learning Engineer,InterSources Inc,"San Francisco, CA",1 month ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
"Business Data Scientist, Global Business Strategy and Operations",Google,"San Francisco, CA",1 week ago,52 applicants,"$150,000.00/yr - $223,000.00/yr",Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"Burlingame, CA",3 weeks ago,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"San Francisco, CA",2 days ago,92 applicants,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Algorithms, Integrity & Identity",Lyft,"San Francisco County, CA",2 weeks ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation
Data Scientist,Zealogics Inc,"San Jose, CA",1 month ago,114 applicants,"$170,000.00/yr - $200,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Internet Publishing
Data Scientist - New Grad (2025 Start),Databricks,"Mountain View, CA",1 week ago,,"$165,000.00/yr - $195,000.00/yr",Entry level,Full-time,Engineering,Software Development
AI Research Scientist,Zoom,"San Jose, CA",1 week ago,,"$122,200.00/yr - $244,500.00/yr",Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Senior Data Scientist - Strategy & Insights,LinkedIn,"Sunnyvale, CA",4 days ago,,"$116,000.00/yr - $178,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting"
Junior Data Scientist,Hello Lilly Labs,San Francisco Bay Area,2 days ago,,,Entry level,Full-time,Engineering and Information Technology,Software Development
Data Scientist,Brex,"San Francisco, CA",2 weeks ago,,"$140,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services
Data Scientist,Natera,"San Carlos, CA",1 week ago,,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Research and Science,"Biotechnology Research, Pharmaceutical Manufacturing, and Software Development"
Data Scientist,Home Organizers,"Hacienda Heights, CA",2 months ago,,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Furniture and Home Furnishings Manufacturing
"Staff Data Scientist, Strategy & Insights",LinkedIn,"Sunnyvale, CA",4 days ago,,"$138,000.00/yr - $226,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting"
AI/ML Data Scientist,"Unreal Staffing, Inc","San Francisco, CA",5 months ago,,"$140,000.00/yr - $210,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Data Scientist,Twitch,"San Francisco, CA",4 days ago,,"$135,000.00/yr - $175,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,Brex,"San Francisco, CA",2 weeks ago,,"$145,000.00/yr - $185,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services
Data Scientist,VeeAR Projects Inc.,"Sunnyvale, CA",1 month ago,27 applicants,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Senior Machine Learning Engineer,OPPO,"Palo Alto, CA",1 month ago,35 applicants,"$100,000.00/yr - $300,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education
"Data Scientist, Game Analytics","Niantic, Inc.","Sunnyvale, CA",4 days ago,,"$158,400.00/yr - $176,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
"Data Scientist, Product Analytics",Meta,"Menlo Park, CA",3 weeks ago,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,SMARTWORK IT SERVICES LLC (SWITS),"Santa Clara, CA",1 month ago,157 applicants,"$165,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,"Unreal Staffing, Inc","San Francisco, CA",6 months ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Data Scientist,Twitch,"San Francisco, CA",4 days ago,,"$125,500.00/yr - $212,800.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,"Donato Technologies, Inc.","Sunnyvale, CA",4 months ago,,"$145,000.00/yr - $165,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Machine Learning Engineer,Netflix,"Los Gatos, CA",1 week ago,,"$100,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers
Data Scientist,Anthro,"San Jose, CA",3 days ago,,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Science,Syntricate Technologies,"Cupertino, CA",2 weeks ago,37 applicants,"$125,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
"Data Scientist, Product Analytics",Meta,"Sunnyvale, CA",4 days ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist 2,Intuit,"Mountain View, CA",1 week ago,,"$175,000.00/yr - $220,000.00/yr",Associate,Full-time,Engineering and Information Technology,Software Development
Data Scientist 2,Intuit,"Mountain View, CA",2 weeks ago,,"$175,000.00/yr - $220,000.00/yr",Associate,Full-time,Engineering and Information Technology,Software Development
Senior Data Scientist,Walmart Global Tech,"Sunnyvale, CA",1 week ago,,"$117,000.00/yr - $234,000.00/yr",Mid-Senior level,Full-time,Information Technology,Software Development and Retail
"Data Scientist, Game Analytics","Niantic, Inc.","Sunnyvale, CA",5 days ago,,"$158,400.00/yr - $176,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
Senior Machine Learning Engineer,OPPO,"Palo Alto, CA",1 month ago,35 applicants,"$120,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education
Data Science Graduate (TikTok-Product-Data Science) - 2025 Start (MS),TikTok,"San Jose, CA",2 weeks ago,156 applicants,"$114,000.00/yr - $177,777.00/yr",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Entertainment Providers
"Data Scientist, Product Analytics",Meta,"Menlo Park, CA",3 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"Fremont, CA",2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"Menlo Park, CA",2 weeks ago,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer,Inhabitr,"Milpitas, CA",2 days ago,117 applicants,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"Sunnyvale, CA",,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"Sunnyvale, CA",2 weeks ago,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer,Inhabitr,"Milpitas, CA",2 days ago,118 applicants,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product",Notion,"San Francisco, CA",1 week ago,,"$136,000.00/yr - $230,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development
Jr. Data Scientist AI,"QTC Management, Inc.","San Antonio, TX",4 days ago,170 applicants,"$65,000.00/yr - $80,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care
DATA SCIENTIST,PETADATA,"Santa Clarita, CA",4 days ago,59 applicants,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Senior, Data Scientist",Walmart,"Bentonville, AR",1 week ago,74 applicants,"$90,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Retail
Data Scientist,Laksan Technologies,United States,3 days ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist (New York),The Voleon Group,"New York, United States",6 days ago,,,Entry level,Full-time,Engineering and Information Technology,Financial Services
Data Scientist,Sartre Group,"New York, United States",5 days ago,,,Mid-Senior level,Full-time,"Analyst, Finance, and Research",Financial Services
Research Scientist,Rishabh Software,"Durham, NC",6 days ago,,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,IT Services and IT Consulting,IT Services and IT Consulting
Data Scientist,Glo,"Daly City, CA",3 months ago,,"$145,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
"Data Scientist, Model Risk Management",PayPal,"Austin, TX",6 days ago,,"$100,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Software Development, Financial Services, and Technology, Information and Internet"
Data Scientist,Thurn Partners,"New York, United States",6 days ago,,,Associate,Full-time,Analyst,Financial Services
Associate Data Scientist,PointClickCare,United States,1 week ago,,"$91,000.00/yr - $98,000.00/yr",Entry level,Full-time,Information Technology,Software Development and Hospitals and Health Care
Data Scientist 2,Intuit,"New York, NY",1 week ago,,,Associate,Full-time,Engineering and Information Technology,Software Development
Junior Data Scientist,Redhorse Corporation,"Arlington, VA",1 day ago,124 applicants,,Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage and Internet Publishing"
Data Scientist - Risk Analytics,MAJORITY,"Miami, FL",6 days ago,,,Entry level,Full-time,Engineering and Information Technology,Financial Services
Machine Learning Engineer,Acceler8 Talent,United States,6 days ago,,,Mid-Senior level,Full-time,Engineering,Software Development
Data Scientist,Connecticut Innovations,"Connecticut, United States",3 days ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Insurance and Hospitals and Health Care
Data Scientist,Zest AI,United States,1 week ago,,"$95,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services
Junior Data Scientist,Lidl US,"Arlington, VA",1 day ago,,,Entry level,Full-time,Engineering and Information Technology,Retail
Data Scientist,AltScore,United States,3 days ago,,"$2,000.00/mo - $12,000.00/mo",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
AI Scientist,Lucid Commerce,"Wilsonville, OR",3 days ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist/Architect - Intermediate,Nike,"Beaverton, OR",1 month ago,,,Entry level,Contract,Engineering and Information Technology,Retail
Data Science Manager,DAT Freight & Analytics,"Beaverton, OR",2 weeks ago,56 applicants,,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage"
Research Engineer,"Galois, Inc.","Portland, OR",1 month ago,,,Entry level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Data Scientist,"ESS, Inc.","Wilsonville, OR",1 week ago,,,Entry level,Full-time,Engineering and Information Technology,Renewable Energy Semiconductor Manufacturing
Data Scientist (IV) – Generative AI,HP,"Vancouver, WA",2 weeks ago,84 applicants,"$118,050.00/yr - $181,800.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting"
Pro-Tem Data Scientist for the Ballmer Wellness Project,University of Oregon,"Portland, OR",2 months ago,,,Entry level,Full-time,Engineering and Information Technology,Higher Education
Entry Level Software Developer (Remote),SynergisticIT,"Portland, OR",1 month ago,43 applicants,,Entry level,Contract,Information Technology,IT Services and IT Consulting
Machine Learning Engineer - Platform,Coinbase,"Portland, OR",2 weeks ago,165 applicants,"$147,900.00/yr - $174,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Annotator - STEM (Remote),Snorkel AI,"Vancouver, WA",2 days ago,,,Not Applicable,Contract,Other,Software Development
"T&D Data Scientist I, Salt Lake City, UT or Portland, OR 112795",PacifiCorp,"Portland, OR",1 day ago,,"$76,200.00/yr - $89,600.00/yr",Entry level,Full-time,Engineering and Information Technology,Utilities
Geo Data Scientist,Battelle,"Albany, OR",1 week ago,45 applicants,,Entry level,Full-time,Engineering and Information Technology,"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Biotechnology Research"
Data Scientist,Coinbase,"Portland, OR",2 weeks ago,,"$140,250.00/yr - $165,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
AI Software Engineer,Rivos Inc.,"Portland, OR",4 days ago,172 applicants,,Entry level,Full-time,Engineering and Information Technology,Computer Hardware Manufacturing
Senior Data Scientist,Shipt,"Oregon, United States",5 days ago,35 applicants,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Crypto Data Scientist / Machine Learning Engineer (Karachi-Remote),Token Metrics,"Oregon, United States",2 days ago,,,Entry level,Full-time,Engineering and Information Technology,Internet Publishing
Crypto Data Scientist / Machine Learning Engineer  (Morocco -Remote),Token Metrics,"Oregon, United States",2 days ago,,,Entry level,Full-time,Engineering and Information Technology,Internet Publishing
Crypto Data Scientist / Machine Learning Engineer  (Albania-Remote),Token Metrics,"Oregon, United States",2 days ago,,,Entry level,Full-time,Engineering and Information Technology,Internet Publishing
Crypto Data Scientist / Machine Learning Engineer  (Ho Chi Minh -Remote),Token Metrics,"Oregon, United States",2 days ago,,,Entry level,Full-time,Engineering and Information Technology,Internet Publishing
Crypto Data Scientist / Machine Learning Engineer  (Islamabad-Remote),Token Metrics,"Oregon, United States",2 days ago,,,Entry level,Full-time,Engineering and Information Technology,Internet Publishing
"Data Scientist, Algorithms, Fulfilment",Lyft,"Seattle, WA",2 weeks ago,,"$124,000.00/yr - $185,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation
Data Scientist,Augment Jobs,"Seattle, WA",3 weeks ago,127 applicants,"$90,000.00/yr - $120,000.00/yr",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
"Data Scientist, Product Analytics",Meta,"Bellevue, WA",1 week ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,Microsoft,"Redmond, WA",6 days ago,,"$98,300.00/yr - $208,800.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development
Data Scientist,Augment Jobs,"Seattle, WA",5 days ago,121 applicants,"$90,000.00/yr - $120,000.00/yr",Associate,Full-time,Engineering and Information Technology,Advertising Services
Data Scientist,Augment Jobs,"Seattle, WA",1 week ago,120 applicants,"$90,000.00/yr - $120,000.00/yr",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
"Data Scientist, Product Analytics",Meta,"Redmond, WA",3 days ago,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"Seattle, WA",2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Data Scientist, Product Analytics",Meta,"Bellevue, WA",,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,Ampcus Inc,"Seattle, WA",2 days ago,62 applicants,"$70,000.00/yr - $90,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research and IT Services and IT Consulting
Data Scientist Graduate (Global E-Commerce-Data Science) - 2025 Start (BS/MS),TikTok,"Seattle, WA",2 weeks ago,145 applicants,"$148,960.00/yr - $165,511.00/yr",Not Applicable,Full-time,"Information Technology, Product Management, and Engineering",Entertainment Providers
"Data Scientist, Decisions, Rider Experience",Lyft,"Seattle, WA",2 weeks ago,143 applicants,"$124,000.00/yr - $155,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation
"Data Scientist, Product Analytics",Meta,"Bellevue, WA",,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Science,Microsoft,"Washington, DC",3 weeks ago,175 applicants,,Not Applicable,Full-time,Engineering and Information Technology,Software Development
Junior-level Data Scientist (SECRET CLEARANCE),VivSoft,"Washington, DC",3 days ago,107 applicants,,Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage"
Data Scientist,Analytica,"Washington, DC",1 week ago,144 applicants,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,DC Department of Human Resources,"Washington, DC",1 day ago,40 applicants,,Entry level,Full-time,Engineering and Information Technology,Human Resources Services
Data Scientist,BLN24,"McLean, VA",1 week ago,200 applicants,,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
Data Scientist,Visa,"Washington, DC",4 days ago,,"$113,000.00/yr - $175,100.00/yr",Director,Full-time,Business Development,IT Services and IT Consulting
Data Scientist - All Levels,Interclypse,"Reston, VA",5 days ago,176 applicants,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist - All Levels,Interclypse,"Annapolis Junction, MD",5 days ago,117 applicants,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
"Data Scientist, Product Analytics",Meta,"Washington, DC",2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Job Opportunity - Data Science / Data Scientist - Gaithersburg, MD","Donato Technologies, Inc.","Gaithersburg, MD",2 weeks ago,109 applicants,,Mid-Senior level,Contract,Other,IT Services and IT Consulting
Data Scientist,GliaCell Technologies,"Annapolis Junction, MD",9 months ago,137 applicants,,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
"Data Scientist, Product Analytics",Meta,"Washington, DC",,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Healthcare Data Scientist - Machine Learning/AI, Statistics, Operations Research",University of Maryland Medical System,"North Bethesda, MD",1 week ago,38 applicants,,Entry level,Full-time,Other,Hospitals and Health Care
Data Scientist (Healthcare),"IT Concepts, Inc","District of Columbia, United States",1 week ago,,,Mid-Senior level,Full-time,Analyst,"Technology, Information and Internet"
Data Scientist,ASCENDING Inc.,"Fairfax, VA",1 week ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
"Data Scientist / Senior Data Scientist, Analytics",DoorDash,"Washington, DC",4 days ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Data Scientist,GliaCell Technologies,"Annapolis Junction, MD",9 months ago,137 applicants,"$50,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
Junior Data Scientist,FedWriters,"Falls Church, VA",2 days ago,58 applicants,,Entry level,Full-time,Engineering and Information Technology,Writing and Editing
Data Scientist,Elder Research,"Arlington, VA",4 days ago,,,Associate,Full-time,Strategy/Planning and Information Technology,Data Infrastructure and Analytics
"Data Scientist - Hybrid - Chicago, IL",Sierra ITS,"Rosemont, IL",1 month ago,,"$80,000.00/yr - $130,000.00/yr",Associate,Full-time,Engineering and Information Technology,Information Services and IT Services and IT Consulting
Data Scientist,Walgreens,"Deerfield, IL",5 days ago,,"$90,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Retail Pharmacies
Data Scientist,Jobs Malaysia - Two95 HR HUB,"Chicago, IL",5 months ago,46 applicants,"$70,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education
Data Scientist,IT Associates,"Rosemont, IL",2 days ago,,"$80,000.00/yr - $130,000.00/yr",Associate,Full-time,Information Technology,Retail
Machine Learning Engineer,GoHealth,"Illinois, United States",3 days ago,,,Entry level,Full-time,Engineering and Information Technology,Insurance Agencies and Brokerages
AI/Machine Learning Engineer,HatchPros,"Chicago, IL",2 weeks ago,108 applicants,"$110,000.00/yr - $150,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Staffing and Recruiting
Data Scientist II,Grubhub,Greater Chicago Area,1 week ago,,,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Data Scientist,Scale Marketing,"Chicago, IL",4 days ago,,"$150,000.00/yr - $198,000.00/yr",Mid-Senior level,Full-time,Marketing and Advertising,Marketing Services and Advertising Services
Data Scientist - Junior,SynergisticIT,"Chicago, IL",5 days ago,41 applicants,"$80,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research and IT Services and IT Consulting
"Data Scientist, RWE Clinical Trials - Remote",Walgreens,"Deerfield, IL",1 week ago,,"$90,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Retail Pharmacies
Machine Learning Engineer,TackleAI,"Schaumburg, IL",1 week ago,,"$85,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
"Data Scientist / Quantitative Researcher, Systematic Trading",KYYBA Inc,"Chicago, IL",1 month ago,,"$130,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Data Scientist,WellBe Senior Medical,"Chicago, IL",1 week ago,92 applicants,"$60,000.00/yr - $110,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Medical Practices
Data Scientist,Synergy Interactive,"Chicago, IL",1 week ago,,"$65,000.00/yr - $75,000.00/yr",Mid-Senior level,Contract,Analyst,IT Services and IT Consulting and Advertising Services
Data Scientist,Digital Prospectors,"Waltham, MA",2 weeks ago,,"$70,000.00/yr - $100,000.00/yr",Associate,Contract,Information Technology,Higher Education
Machine Learning Engineer,Neural Magic,"Somerville, MA",3 months ago,,"$100,000.00/yr - $180,000.00/yr",Associate,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Data Scientist,Red Hat,"Boston, MA",2 days ago,176 applicants,"$127,890.00/yr - $211,180.00/yr",Not Applicable,Full-time,Engineering,Software Development and IT Services and IT Consulting
Data Scientist,Sonatus,"Boston, MA",1 month ago,,"$86,000.00/yr - $267,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development
Data Scientist,KDR Talent Solutions USA,"Boston, MA",5 days ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Information Technology,Research Services
"Scientist I/II, Data Science",Sail Biomedicines,"Cambridge, MA",1 month ago,79 applicants,"$80,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research
"Data Scientist II/ Senior Data Scientist I, High-throughput Assay Analytics",Generate:Biomedicines,"Somerville, MA",2 weeks ago,,"$100,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Biotechnology Research
Machine Learning Scientist,Flagship Pioneering,"Cambridge, MA",2 weeks ago,,"$150,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Science,Biotechnology Research and Research Services
